Sample	Estandardized_sample_nameR
GEN2-06	GEN2_06
GEN2-07	GEN2_07
GEN2-28	GEN2_28
MN03-01	MN03_01
MN03-02	MN03_02
MN03-04	MN03_04
MN03-07	MN03_07
MN03-08	MN03_08
MN03-09	MN03_09
MN03-12	MN03_12
MN03-14	MN03_14
MN03-17	MN03_17
MN03-19	MN03_19
MN03-21	MN03_21
MN03-22	MN03_22
MN03-24	MN03_24
MN03-25	MN03_25
MN03-26	MN03_26
MN03-30	MN03_30
MN03-32	MN03_32
MN03-34	MN03_34
MN03-35	MN03_35
MN03-39	MN03_39
MN03-41	MN03_41
MN03-42	MN03_42
MN03-43	MN03_43
MN03-45	MN03_45
MN03-47	MN03_47
MN03-48	MN03_48
MN03-49	MN03_49
MN03-50	MN03_50
MN03-53	MN03_53
MN03-55	MN03_55
MN03-57	MN03_57
MN03-60	MN03_60
MN03-65	MN03_65
MN03-66	MN03_66
MN03-67	MN03_67
MN03-71	MN03_71
MN03-74	MN03_74
MN03-75	MN03_75
MN03-77	MN03_77
MN03-80	MN03_80
MN03-81	MN03_81
MN03-82	MN03_82
FEG153-22	FEG153_22
FEG153-31	FEG153_31
FEG153-52	FEG153_52
FEG153-58	FEG153_58
FEG154-42	FEG154_42
FEG154-47	FEG154_47
FEG155-07	FEG155_07
FEG155-41	FEG155_41
FEG155-50	FEG155_50
FEG155-58	FEG155_58
FEG156-09	FEG156_09
FEG156-41	FEG156_41
FEG160-03	FEG160_03
FEG160-10	FEG160_10
FEG160-27	FEG160_27
FEG160-38	FEG160_38
FEG161-03	FEG161_03
FEG161-25	FEG161_25
FEG161-39	FEG161_39
FEG162-16	FEG162_16
FEG162-22	FEG162_22
FEG162-26	FEG162_26
FEG162-34	FEG162_34
FEG162-43	FEG162_43
FEG163-02	FEG163_02
FEG163-07	FEG163_07
FEG163-14	FEG163_14
FEG163-21	FEG163_21
FEG163-27	FEG163_27
FEG163-48	FEG163_48
FEG164-33	FEG164_33
FEG164-49	FEG164_49
FEG164-56	FEG164_56
FEG165-15	FEG165_15
FEG165-26	FEG165_26
FEG166-14	FEG166_14
FEG166-38	FEG166_38
FEG166-40	FEG166_40
FEG167-10	FEG167_10
FEG168-09	FEG168_09
FEG168-19	FEG168_19
FEG169-47	FEG169_47
FEG169-54	FEG169_54
FEG170-07	FEG170_07
FEG170-27	FEG170_27
FEG171-28	FEG171_28
